"Date","Price","Open","High","Low","Vol.","Change %"
"May 16, 2019","115,951,000","118,246,000","119,500,000","115,000,000","0.69K","-1.94%"
"May 15, 2019","118,245,000","117,609,000","119,318,000","115,500,000","0.61K","0.54%"
"May 14, 2019","117,609,000","112,900,000","120,100,000","112,798,000","0.89K","4.17%"
"May 13, 2019","112,900,000","101,313,000","115,596,000","100,350,000","0.93K","11.44%"
"May 12, 2019","101,309,000","104,290,000","108,550,000","99,400,000","0.80K","-2.86%"
"May 11, 2019","104,290,000","92,752,000","106,760,000","92,720,000","0.72K","12.44%"
"May 10, 2019","92,752,000","88,292,000","93,987,000","88,000,000","0.49K","5.05%"
"May 09, 2019","88,292,000","85,177,000","88,493,000","85,177,000","0.34K","3.66%"
"May 08, 2019","85,177,000","83,840,000","85,232,000","83,252,000","0.34K","1.59%"
"May 07, 2019","83,840,000","82,306,000","85,490,000","82,254,000","0.45K","1.86%"
"May 06, 2019","82,306,000","81,305,000","82,750,000","80,000,000","0.34K","1.23%"
"May 05, 2019","81,305,000","81,549,000","81,750,000","80,500,000","0.18K","-0.30%"
"May 04, 2019","81,549,000","80,203,000","82,101,000","79,000,000","0.29K","1.68%"
"May 03, 2019","80,203,000","77,611,000","82,795,000","77,401,000","0.55K","3.34%"
"May 02, 2019","77,611,000","76,668,000","77,770,000","76,500,000","0.30K","1.23%"
"May 01, 2019","76,668,000","75,912,000","76,830,000","75,911,000","0.28K","1.00%"
"Apr 30, 2019","75,912,000","75,606,000","76,554,000","75,273,000","0.35K","0.40%"
"Apr 29, 2019","75,606,000","75,623,000","76,387,000","75,237,000","0.42K","-0.20%"
"Apr 28, 2019","75,761,000","76,087,000","76,705,000","75,500,000","0.14K","-0.43%"
"Apr 27, 2019","76,087,000","75,857,000","76,500,000","75,344,000","0.19K","0.12%"
"Apr 26, 2019","75,999,000","75,696,000","77,801,000","74,851,000","0.45K","0.40%"
"Apr 25, 2019","75,696,000","79,880,000","80,632,000","74,807,000","0.67K","-5.11%"
"Apr 24, 2019","79,770,000","79,951,000","81,392,000","79,101,000","0.47K","-0.29%"
"Apr 23, 2019","80,000,000","77,329,000","80,814,000","77,159,000","0.58K","3.45%"
"Apr 22, 2019","77,329,000","76,401,000","78,000,000","75,600,000","0.44K","1.22%"
"Apr 21, 2019","76,400,000","76,422,000","76,550,000","75,500,000","0.23K","-0.03%"
"Apr 20, 2019","76,422,000","75,775,000","76,500,000","75,670,000","0.15K","0.89%"
"Apr 19, 2019","75,751,000","75,307,000","76,155,000","74,652,000","0.17K","0.59%"
"Apr 18, 2019","75,306,000","74,507,000","75,687,000","74,449,000","0.23K","1.07%"
"Apr 17, 2019","74,507,000","74,281,000","74,800,000","73,851,000","0.20K","0.30%"
"Apr 16, 2019","74,284,000","72,805,000","74,558,000","72,370,000","0.28K","2.03%"
"Apr 15, 2019","72,804,000","74,089,000","74,500,000","71,901,000","0.30K","-1.73%"
"Apr 14, 2019","74,089,000","73,244,000","74,200,000","72,392,000","0.13K","1.15%"
"Apr 13, 2019","73,244,000","73,285,000","74,054,000","72,929,000","0.17K","-0.06%"
"Apr 12, 2019","73,285,000","72,851,000","73,647,000","71,160,000","0.29K","0.60%"
"Apr 11, 2019","72,851,000","76,199,000","76,400,000","72,001,000","0.71K","-4.40%"
"Apr 10, 2019","76,200,000","74,765,000","76,988,000","74,667,000","0.49K","1.92%"
"Apr 09, 2019","74,765,000","76,527,000","76,528,000","74,589,000","0.48K","-2.30%"
"Apr 08, 2019","76,527,000","74,296,000","76,794,000","73,961,000","0.64K","3.00%"
"Apr 07, 2019","74,296,000","72,410,000","74,888,000","72,238,000","0.34K","2.62%"
"Apr 06, 2019","72,401,000","71,693,000","74,323,000","70,902,000","0.33K","0.99%"
"Apr 05, 2019","71,693,000","70,046,000","71,915,000","69,800,000","0.31K","2.35%"
"Apr 04, 2019","70,046,000","69,847,000","71,296,000","68,950,000","0.39K","0.28%"
"Apr 03, 2019","69,847,000","68,770,000","73,737,000","67,258,000","0.54K","1.66%"
"Apr 02, 2019","68,709,000","59,734,000","71,499,000","59,702,000","0.98K","15.03%"
"Apr 01, 2019","59,732,000","58,775,000","59,791,000","58,750,000","0.30K","1.48%"
"Mar 31, 2019","58,860,000","58,707,000","58,967,000","58,653,000","0.11K","0.26%"
"Mar 30, 2019","58,707,000","58,499,000","58,957,000","58,008,000","0.24K","0.36%"
"Mar 29, 2019","58,498,000","57,771,000","58,942,000","57,770,000","0.28K","1.26%"
"Mar 28, 2019","57,770,000","57,700,000","57,954,000","57,406,000","0.26K","0.12%"
"Mar 27, 2019","57,699,000","56,720,000","58,000,000","56,653,000","0.38K","1.76%"
"Mar 26, 2019","56,699,000","56,620,000","57,079,000","56,350,000","0.31K","0.15%"
"Mar 25, 2019","56,615,000","57,301,000","57,750,000","56,009,000","0.45K","-1.20%"
